3224715,Lenovo,phone,742,8/9/2019,
5308963,Apple ,tower,124,12/23/2020,
8201488,Lenovo,laptop,612,1/24/2022,damaged
2390112,Dell,laptop,799,7/2/2022,
3201619,Dell,laptop,346,7/31/2022,
8243441,Samsung,tower,561,8/16/2022,
3001265,Samsung,phone,1200,12/2/2022,
4734649,Lenovo,tower,1512,2/25/2023,
5964628,Dell,phone,522,3/14/2023,
7047829,Samsung,tower,623,3/16/2023,
2920634,Apple ,tower,4446,3/23/2023,
9880262,Apple ,laptop,4632,3/25/2023,damaged
8142124,Samsung,tower,6295,4/2/2023,
6526771,Lenovo,tower,463,4/6/2023,
9218735,Dell,tower,2702,4/12/2023,
5016653,Lenovo,phone,7120,4/14/2023,
4851973,Apple ,tower,3159,4/15/2023,
5185449,Dell,tower,1319,4/16/2023,
9366658,Samsung,tower,7518,4/17/2023,
4606106,Samsung,tower,9765,4/22/2023,
3507578,Apple ,tower,1482,4/23/2023,
4903022,Dell,tower,9282,4/23/2023,damaged
6418759,Samsung,tower,3963,5/22/2023,
9034210,Dell,tower,345,5/27/2023,
2347800,Apple ,laptop,999,9/1/2023,
1006384,Samsung,tower,854,9/11/2023,damaged
7346234,Lenovo,laptop,239,10/1/2023,damaged
1167234,Apple ,phone,534,12/1/2023,
1009453,Lenovo,tower,599,2/1/2024,
4416411,Apple ,laptop,255,3/26/2024,damaged
